ID,category,spanish,korean,quiz,answer,answer2,level
1,ser,Yo soy profesora.,나는 선생님이다.,Yo (      ) profesora.,soy,Soy,하
2,ser,Tú eres muy amable.,너는 매우 친절하다.,Tú ( ) muy amable.,eres,Eres,하
3,ser,Él es estudiante de español.,그는 스페인어 학생이다.,Él ( ) estudiante de español.,es,Es,하
4,ser,Ella es de Corea.,그녀는 한국 출신이다.,Ella ( ) de Corea.,es,Es,하
5,ser,Nosotros somos amigos.,우리는 친구이다.,Nosotros ( ) amigos.,somos,Somos,하
6,ser,Vosotros sois muy altos.,너희들은 매우 키가 크다.,Vosotros ( ) muy altos.,sois,Sois,하
7,ser,Ellos son médicos.,그들은 의사이다.,Ellos ( ) médicos.,son,Son,하
8,ser,María es mi hermana.,마리아는 나의 여동생이다.,María ( ) mi hermana.,es,Es,하
9,ser,Juan y Pedro son compañeros de clase.,후안과 페드로는 같은 반 친구이다.,Juan y Pedro ( ) compañeros de clase.,son,Son,하
10,ser,Yo soy de Seúl.,나는 서울 출신이다.,Yo ( ) de Seúl.,soy,Soy,하
11,ser,Tú eres muy inteligente.,너는 매우 똑똑하다.,Tú ( ) muy inteligente.,eres,Eres,하
12,ser,Hoy es el 17 de abril.,오늘은 4월 17일이다.,Hoy ( ) el 17 de abril.,es,Es,하
13,ser,Nosotros somos coreanos.,우리는 한국인이다.,Nosotros ( ) coreanos.,somos,Somos,하
14,ser,Ella es muy simpática.,그녀는 매우 상냥하다.,Ella ( ) muy simpática.,es,Es,하
15,ser,Ellas son estudiantes.,그녀들은 학생이다.,Ellas ( ) estudiantes.,son,Son,하
16,ser,Tú eres mi mejor amigo.,너는 나의 가장 친한 친구이다.,Tú ( ) mi mejor amigo.,eres,Eres,하
17,ser,Anita es profesora de inglés.,아나는 영어 선생님이다.,Anita ( ) profesora de inglés.,es,Es,하
18,ser,Ellos son muy trabajadores.,그들은 매우 성실하다.,Ellos ( ) muy trabajadores.,son,Son,하
19,ser,Él es mi profesor.,그는 나의 선생님이다.,Él ( ) mi profesor.,es,Es,하
20,ser,Yo soy italiano.,나는 이탈리아 사람이다.,Yo ( ) italiano.,soy,Soy,하
21,ser,Tú eres muy guapo.,너는 매우 잘생겼다.,Tú ( ) muy guapo.,eres,Eres,하
22,ser,Juan es inteligente.,후안은 똑똑하다.,Juan ( ) inteligente.,es,Es,하
23,ser,La tierra es un planeta.,지구는 행성이다.,La tierra ( ) un planeta.,es,Es,하
24,ser,María es doctora.,마리아는 의사이다.,María ( ) doctora.,es,Es,하
25,ser,Vosotros sois de España.,너희들은 스페인 출신이다.,Vosotros ( ) de España.,sois,Sois,하
26,ser,Ana y Mario son de México.,아나와 마리오는 멕시코 출신이다.,Ana y Mario ( ) de México.,son,Son,하
